Title,Body,Label,Stage,Area,Item Type,Priority,Status,Decision
Barcode food scanning,Likely out of scope,idea,Unscheduled,Backend,Feature Idea,,Backlog,Undecided
In-app coach-client messaging,,idea,Unscheduled,Backend,Feature Idea,,Backlog,Undecided
Video form-check upload,,idea,Unscheduled,Backend,Feature Idea,,Backlog,Undecided
In-app payment collection,Razorpay/Stripe,idea,Unscheduled,Business,Feature Idea,,Backlog,Undecided
Weekly subjective check-in forms,,idea,Unscheduled,Backend,Feature Idea,,Backlog,Undecided
Private coach notes on client,,idea,Unscheduled,Backend,Feature Idea,,Backlog,Undecided
Reusable routine template library,,idea,Unscheduled,Backend,Feature Idea,,Backlog,Undecided
Waitlist when coach at capacity,,idea,Unscheduled,Backend,Feature Idea,,Backlog,Undecided
2-coach practice model,Real architecture change not a toggle - decide deliberately,idea,Unscheduled,Backend,Feature Idea,,Backlog,Undecided
Streaks/badges,Private-only version may be ok,idea,Unscheduled,Frontend,Feature Idea,,Backlog,Undecided
Leaderboards,Conflicts with no-social-feed principle,idea,Unscheduled,Frontend,Feature Idea,,Backlog,Philosophy Conflict
